,model type,n_steps_in,n_nodes,train,val_RMSE,val_MAE
0,LSTM,3,5,14.748194579942465,14.75669196086676,9.256910434736088
1,LSTM,3,50,15.45902650212517,15.617907918676664,8.901710704624314
2,LSTM,3,100,15.240534793895405,15.416906989269533,8.582868577972063
3,LSTM,15,5,12.540578898264183,12.534219657592102,8.443963609284662
4,LSTM,15,50,14.755835747055052,15.39384414464371,8.032007877666128
5,LSTM,15,100,15.920284774466737,16.974875563509336,8.7573948334036
6,LSTM,50,5,12.822149068948251,12.622146538969801,8.279608592443461
7,LSTM,50,50,16.597865572586617,17.333301135370217,8.924830402033548
8,LSTM,50,100,16.276076255646025,16.702596303264478,8.261022802495026
9,GRU,3,5,12.734124066600259,12.807170764852023,8.476828462562093
10,GRU,3,50,14.07671503991703,14.570766417558412,8.199844793439784
11,GRU,3,100,14.993327689444767,15.210012717071796,8.302159956131758
12,GRU,15,5,14.127595128936806,14.101631260469267,8.171506556187431
13,GRU,15,50,15.277868505456377,15.562851246507156,8.353245082186483
14,GRU,15,100,15.848541805499764,16.76470823452061,8.669514348924555
15,GRU,50,5,13.153829757536435,13.200824484428116,7.876889249657728
16,GRU,50,50,15.95510256635956,16.044910520344597,8.446539231365207
17,GRU,50,100,15.550708506698218,16.149674758981128,8.361971862459994
